0.000000000e+00	3.000000000e-02	1.500000000e-02	2.000000000e-02	
4.000000000e-01	2.500000000e-02	7.700000000e-03	2.120000000e-02	
8.000000000e-01	2.310000000e-02	5.400000000e-03	2.180000000e-02	
1.200000000e+00	2.190000000e-02	4.200000000e-03	2.210000000e-02	
1.600000000e+00	2.110000000e-02	4.100000000e-03	2.210000000e-02	
2.000000000e+00	2.040000000e-02	4.500000000e-03	2.180000000e-02	
2.400000000e+00	1.990000000e-02	4.200000000e-03	2.220000000e-02	
2.800000000e+00	1.930000000e-02	4.800000000e-03	2.190000000e-02	
3.200000000e+00	1.810000000e-02	4.600000000e-03	2.170000000e-02	
3.600000000e+00	1.710000000e-02	3.400000000e-03	2.190000000e-02	
4.000000000e+00	1.690000000e-02	3.500000000e-03	2.180000000e-02	
4.400000000e+00	1.640000000e-02	3.200000000e-03	2.250000000e-02	
4.800000000e+00	1.600000000e-02	3.000000000e-03	2.280000000e-02	
5.200000000e+00	1.560000000e-02	3.100000000e-03	2.340000000e-02	
5.600000000e+00	1.490000000e-02	2.800000000e-03	2.420000000e-02	
6.000000000e+00	1.480000000e-02	3.000000000e-03	2.400000000e-02	
6.400000000e+00	1.460000000e-02	2.900000000e-03	2.370000000e-02	
6.800000000e+00	1.410000000e-02	2.700000000e-03	2.450000000e-02	
7.200000000e+00	1.430000000e-02	2.900000000e-03	2.460000000e-02	
7.600000000e+00	1.430000000e-02	3.300000000e-03	2.410000000e-02	
8.000000000e+00	1.420000000e-02	3.400000000e-03	2.440000000e-02	
8.400000000e+00	1.440000000e-02	3.700000000e-03	2.470000000e-02	
8.800000000e+00	1.410000000e-02	3.400000000e-03	2.470000000e-02	
9.200000000e+00	1.360000000e-02	3.100000000e-03	2.510000000e-02	
9.600000000e+00	1.340000000e-02	3.400000000e-03	2.520000000e-02	
1.000000000e+01	1.310000000e-02	3.000000000e-03	2.510000000e-02	
