26	29	24	30	
24	22	33	30	
25	26	31	27	
26	24	32	27	
39	24	19	27	
18	33	37	21	
30	20	29	30	
24	32	26	27	
29	23	27	30	
29	23	33	24	
27	26	20	36	
29	33	17	30	
23	33	23	30	
32	32	30	15	
32	25	25	27	
25	34	26	24	
17	29	27	36	
25	22	38	24	
30	21	34	24	
40	31	17	21	
22	34	29	24	
24	24	31	30	
21	31	27	30	
29	27	23	30	
31	25	29	24	
24	27	34	24	
26	32	24	27	
20	35	21	33	
32	24	23	30	
32	21	32	24	
28	25	26	30	
22	22	32	33	
24	19	39	27	
19	35	31	24	
28	24	30	27	
19	20	40	30	
31	25	32	21	
22	31	32	24	
29	31	22	27	
24	22	27	36	
30	19	33	27	
28	18	30	33	
28	32	31	18	
22	23	34	30	
25	25	26	33	
26	32	21	30	
23	34	25	27	
15	33	28	33	
37	27	27	18	
25	27	27	30	
24	26	29	30	
27	27	31	24	
23	31	28	27	
19	31	35	24	
27	27	25	30	
35	18	26	30	
26	25	31	27	
27	31	24	27	
24	31	30	24	
23	25	28	33	
26	29	36	18	
25	25	26	33	
31	27	27	24	
24	23	29	33	
25	25	35	24	
31	26	25	27	
33	30	19	27	
26	20	36	27	
26	25	28	30	
23	32	30	24	
22	29	31	27	
24	19	33	33	
31	29	25	24	
21	29	29	30	
29	22	28	30	
26	26	24	33	
27	31	18	33	
22	21	36	30	
27	30	25	27	
29	22	28	30	
34	25	23	27	
21	18	37	33	
25	25	35	24	
20	23	27	39	
37	27	27	18	
22	34	29	24	
29	35	21	24	
25	26	28	30	
32	17	30	30	
27	33	25	24	
23	29	27	30	
36	22	27	24	
32	33	20	24	
30	32	26	21	
27	24	34	24	
29	27	26	27	
33	16	27	33	
34	30	21	24	
26	32	30	21	
24	30	19	36	
27	26	26	30	
20	42	26	21	
26	31	22	30	
30	31	21	27	
38	22	31	18	
22	25	32	30	
27	31	24	27	
24	28	27	30	
27	31	21	30	
21	31	24	33	
28	25	23	33	
28	28	32	21	
24	28	27	30	
32	33	20	24	
19	28	26	36	
29	25	25	30	
36	11	35	27	
23	31	25	30	
25	31	29	24	
26	30	26	27	
24	30	31	24	
18	34	30	27	
30	23	35	21	
32	28	25	24	
30	23	29	27	
33	28	27	21	
29	26	24	30	
34	22	32	21	
29	23	24	33	
29	29	24	27	
33	29	23	24	
26	32	27	24	
29	37	28	15	
29	27	29	24	
21	31	30	27	
32	17	30	30	
25	26	34	24	
26	27	29	27	
26	24	32	27	
34	23	28	24	
29	23	36	21	
23	33	32	21	
31	18	27	33	
21	33	25	30	
33	24	25	27	
31	29	25	24	
32	28	22	27	
18	33	28	30	
