0.000000000e+00	1.000000000e+02	3.000000000e+00	3.000000000e+00	3.000000000e+00	
1.200000000e-01	8.400000000e+01	7.000000000e+00	6.000000000e+00	1.200000000e+01	
2.400000000e-01	7.100000000e+01	1.000000000e+01	1.300000000e+01	1.500000000e+01	
3.600000000e-01	6.200000000e+01	1.200000000e+01	1.700000000e+01	1.800000000e+01	
4.800000000e-01	5.300000000e+01	1.500000000e+01	2.000000000e+01	2.100000000e+01	
6.000000000e-01	4.300000000e+01	2.100000000e+01	2.400000000e+01	2.100000000e+01	
7.200000000e-01	3.600000000e+01	2.300000000e+01	2.600000000e+01	2.400000000e+01	
8.400000000e-01	2.800000000e+01	3.000000000e+01	3.000000000e+01	2.100000000e+01	
9.600000000e-01	2.600000000e+01	2.200000000e+01	2.800000000e+01	3.300000000e+01	
1.080000000e+00	2.700000000e+01	2.600000000e+01	2.900000000e+01	2.700000000e+01	
1.200000000e+00	2.100000000e+01	2.600000000e+01	3.200000000e+01	3.000000000e+01	
1.320000000e+00	1.800000000e+01	2.500000000e+01	3.000000000e+01	3.600000000e+01	
1.440000000e+00	2.300000000e+01	2.700000000e+01	2.600000000e+01	3.300000000e+01	
1.560000000e+00	2.500000000e+01	2.800000000e+01	2.300000000e+01	3.300000000e+01	
1.680000000e+00	2.900000000e+01	3.500000000e+01	2.400000000e+01	2.100000000e+01	
1.800000000e+00	2.400000000e+01	3.200000000e+01	2.600000000e+01	2.700000000e+01	
1.920000000e+00	1.800000000e+01	3.300000000e+01	2.800000000e+01	3.000000000e+01	
2.040000000e+00	2.500000000e+01	2.800000000e+01	2.300000000e+01	3.300000000e+01	
2.160000000e+00	2.800000000e+01	2.800000000e+01	2.300000000e+01	3.000000000e+01	
2.280000000e+00	3.000000000e+01	2.300000000e+01	2.600000000e+01	3.000000000e+01	
2.400000000e+00	3.500000000e+01	2.300000000e+01	2.700000000e+01	2.400000000e+01	
2.520000000e+00	3.500000000e+01	2.300000000e+01	3.000000000e+01	2.100000000e+01	
2.640000000e+00	3.400000000e+01	2.500000000e+01	3.200000000e+01	1.800000000e+01	
2.760000000e+00	2.800000000e+01	2.300000000e+01	2.800000000e+01	3.000000000e+01	
2.880000000e+00	2.900000000e+01	2.500000000e+01	2.200000000e+01	3.300000000e+01	
3.000000000e+00	2.600000000e+01	2.900000000e+01	2.400000000e+01	3.000000000e+01	
