27	19	36	27	
22	29	31	27	
23	26	30	30	
34	28	20	27	
33	34	18	24	
23	27	20	39	
30	23	35	21	
27	32	29	21	
35	33	17	24	
34	23	25	27	
29	32	21	27	
27	30	28	24	
28	25	26	30	
37	23	28	21	
21	33	22	33	
23	36	32	18	
32	22	25	30	
24	26	26	33	
28	27	27	27	
30	35	23	21	
24	27	16	42	
22	31	32	24	
23	25	25	36	
25	36	24	24	
27	26	26	30	
15	28	36	30	
24	34	27	24	
33	29	26	21	
26	26	30	27	
21	29	32	27	
25	21	39	24	
27	27	25	30	
25	23	31	30	
19	37	32	21	
30	28	24	27	
27	28	30	24	
27	16	36	30	
24	26	26	33	
32	24	23	30	
31	29	22	27	
28	34	17	30	
24	27	28	30	
35	21	29	24	
22	25	29	33	
28	23	34	24	
37	26	25	21	
23	30	29	27	
19	28	20	42	
19	31	32	27	
29	28	28	24	
27	28	27	27	
31	31	23	24	
31	23	22	33	
18	33	28	30	
24	28	27	30	
29	27	29	24	
34	22	29	24	
31	31	23	24	
25	28	23	33	
27	22	27	33	
28	26	28	27	
24	28	27	30	
24	32	26	27	
34	27	27	21	
22	27	33	27	
37	20	16	36	
28	27	33	21	
20	28	34	27	
31	31	29	18	
22	23	31	33	
28	28	29	24	
26	30	29	24	
32	28	28	21	
32	25	22	30	
24	19	33	33	
28	29	34	18	
32	27	26	24	
28	33	27	21	
28	32	22	27	
24	30	25	30	
32	23	33	21	
28	28	26	27	
30	32	29	18	
25	24	30	30	
31	33	24	21	
29	41	24	15	
29	31	25	24	
34	26	22	27	
29	20	30	30	
28	29	31	21	
23	32	21	33	
29	22	25	33	
31	28	20	30	
28	25	23	33	
27	26	20	36	
32	19	25	33	
28	24	36	21	
27	28	24	30	
26	26	30	27	
33	20	23	33	
29	32	27	21	
23	26	30	30	
25	30	30	24	
26	32	27	24	
29	32	27	21	
30	26	23	30	
26	32	27	24	
27	29	23	30	
25	30	24	30	
32	19	31	27	
31	23	25	30	
34	30	15	30	
34	24	24	27	
32	27	26	24	
26	31	25	27	
24	26	23	36	
22	28	38	21	
33	19	27	30	
32	25	25	27	
30	16	33	30	
26	20	27	36	
20	27	32	30	
31	27	24	27	
28	25	23	33	
25	27	27	30	
28	23	28	30	
31	32	25	21	
21	27	31	30	
26	31	25	27	
27	27	25	30	
27	24	22	36	
22	27	33	27	
32	30	23	24	
30	19	27	33	
27	26	29	27	
33	24	28	24	
23	27	29	30	
26	24	23	36	
29	28	28	24	
30	24	31	24	
23	28	31	27	
21	32	32	24	
30	31	21	27	
25	28	26	30	
31	23	22	33	
27	25	30	27	
28	25	32	24	
19	34	23	33	
27	23	29	30	
27	27	31	24	
22	27	30	30	
28	29	28	24	
27	27	25	30	
24	35	29	21	
24	31	27	27	
24	29	20	36	
29	27	32	21	
21	33	28	27	
35	27	26	21	
31	27	21	30	
23	22	31	33	
24	32	20	33	
27	20	26	36	
27	28	30	24	
26	22	31	30	
30	20	29	30	
23	29	24	33	
33	23	32	21	
24	36	22	27	
29	31	22	27	
26	26	30	27	
36	26	23	24	
20	28	28	33	
19	30	30	30	
24	37	24	24	
22	24	33	30	
30	27	25	27	
23	30	32	24	
34	15	30	30	
32	18	29	30	
27	23	32	27	
18	27	37	27	
25	34	17	33	
30	19	24	36	
24	27	31	27	
24	22	36	27	
32	22	31	24	
31	27	21	30	
28	21	30	30	
30	30	28	21	
26	25	25	33	
28	23	28	30	
28	29	28	24	
26	26	30	27	
24	26	32	27	
30	31	27	21	
26	26	27	30	
20	44	24	21	
25	27	33	24	
31	31	23	24	
34	25	23	27	
28	31	26	24	
28	25	29	27	
21	24	34	30	
26	30	23	30	
26	23	24	36	
31	25	29	24	
23	28	34	24	
38	26	21	24	
39	21	22	27	
27	29	32	21	
25	33	33	18	
33	26	26	24	
24	28	30	27	
32	27	26	24	
25	27	27	30	
26	24	29	30	
20	32	33	24	
35	23	24	27	
26	26	30	27	
21	29	32	27	
29	17	27	36	
31	33	21	24	
24	23	29	33	
22	24	33	30	
27	31	24	27	
29	25	28	27	
32	27	29	21	
33	24	25	27	
25	32	25	27	
32	23	24	30	
22	32	28	27	
29	28	31	21	
28	30	30	21	
26	35	27	21	
23	26	30	30	
35	21	35	18	
20	30	26	33	
17	31	28	33	
24	35	32	18	
32	25	28	24	
26	24	26	33	
22	31	35	21	
23	33	29	24	
29	28	25	27	
32	28	25	24	
30	26	26	27	
26	25	34	24	
27	26	32	24	
25	26	34	24	
32	26	27	24	
26	27	20	36	
27	33	22	27	
21	31	30	27	
36	19	27	27	
24	23	32	30	
25	19	29	36	
23	32	30	24	
22	32	25	30	
22	29	22	36	
20	29	27	33	
34	25	26	24	
24	34	30	21	
28	27	30	24	
31	26	31	21	
21	31	27	30	
29	28	25	27	
16	26	28	39	
24	24	28	33	
23	31	25	30	
28	25	29	27	
25	27	21	36	
25	21	33	30	
27	31	30	21	
31	19	26	33	
24	24	28	33	
25	26	31	27	
24	24	28	33	
30	21	34	24	
24	27	31	27	
31	23	28	27	
24	36	31	18	
21	29	29	30	
31	26	25	27	
33	27	28	21	
32	26	27	24	
23	28	31	27	
26	29	24	30	
20	32	33	24	
35	25	25	24	
20	31	31	27	
21	33	25	30	
30	24	22	33	
37	24	21	27	
28	30	30	21	
35	20	27	27	
30	24	25	30	
38	28	28	15	
30	21	34	24	
23	29	21	36	
28	27	27	27	
28	28	23	30	
32	27	23	27	
23	22	40	24	
26	21	32	30	
31	25	20	33	
23	27	29	30	
26	18	38	27	
29	19	28	33	
28	28	26	27	
31	32	22	24	
25	26	31	27	
31	18	27	33	
27	23	29	30	
30	26	26	27	
20	27	32	30	
37	25	23	24	
25	32	22	30	
26	26	21	36	
35	19	25	30	
28	30	30	21	
25	31	26	27	
28	26	28	27	
21	29	29	30	
24	25	30	30	
29	34	25	21	
18	30	28	33	
25	27	30	27	
28	19	35	27	
21	27	25	36	
24	25	27	33	
29	23	24	33	
26	19	34	30	
23	24	29	33	
27	34	33	15	
26	31	25	27	
37	23	25	24	
30	23	26	30	
38	23	18	30	
23	25	31	30	
23	34	25	27	
28	25	29	27	
20	32	21	36	
26	27	29	27	
28	33	24	24	
28	27	30	24	
20	28	37	24	
27	29	23	30	
26	29	21	33	
26	27	26	30	
32	22	31	24	
27	28	24	30	
31	28	29	21	
26	33	29	21	
30	21	31	27	
26	27	26	30	
28	25	32	24	
27	29	29	24	
31	33	15	30	
25	33	18	33	
17	22	34	36	
30	28	24	27	
28	29	31	21	
32	26	21	30	
39	24	16	30	
28	27	18	36	
38	20	21	30	
23	23	33	30	
25	27	24	33	
35	22	25	27	
31	26	22	30	
24	30	31	24	
25	32	25	27	
20	27	32	30	
30	28	18	33	
30	29	23	27	
22	31	23	33	
23	27	35	24	
25	29	34	21	
25	26	34	24	
29	15	32	33	
29	27	29	24	
22	23	28	36	
39	19	30	21	
26	26	30	27	
25	23	31	30	
23	28	34	24	
24	29	32	24	
26	28	31	24	
31	22	20	36	
29	20	33	27	
24	31	21	33	
24	29	29	27	
36	27	25	21	
29	21	26	33	
26	35	24	24	
23	32	33	21	
24	41	29	15	
28	29	22	30	
32	33	29	15	
27	29	26	27	
30	26	23	30	
32	27	26	24	
23	23	30	33	
28	26	31	24	
28	33	24	24	
25	33	30	21	
29	24	26	30	
26	20	30	33	
21	32	29	27	
27	27	34	21	
28	32	28	21	
28	23	28	30	
22	31	26	30	
27	28	27	27	
22	35	22	30	
27	27	28	27	
26	29	27	27	
24	31	30	24	
23	31	31	24	
32	30	23	24	
19	27	36	27	
27	25	33	24	
34	20	25	30	
29	29	18	33	
22	35	25	27	
30	21	25	33	
22	33	21	33	
23	28	31	27	
31	19	29	30	
29	26	24	30	
26	26	24	33	
31	23	31	24	
20	34	28	27	
23	27	29	30	
26	25	31	27	
20	28	34	27	
35	25	28	21	
25	26	28	30	
22	19	38	30	
22	26	25	36	
33	25	24	27	
21	32	35	21	
15	35	29	30	
24	35	26	24	
31	31	32	15	
27	31	27	24	
25	26	31	27	
28	22	32	27	
27	22	33	27	
21	29	32	27	
25	31	26	27	
24	27	25	33	
23	32	30	24	
34	27	21	27	
23	36	26	24	
29	35	21	24	
19	33	33	24	
28	25	35	21	
30	23	29	27	
28	20	31	30	
24	36	28	21	
26	31	28	24	
18	32	29	30	
28	24	30	27	
27	29	23	30	
28	28	29	24	
24	30	31	24	
26	23	30	30	
27	31	24	27	
30	26	26	27	
21	35	32	21	
34	24	36	15	
27	20	35	27	
34	15	33	27	
34	20	31	24	
27	34	24	24	
23	29	21	36	
21	24	40	24	
15	31	36	27	
25	29	25	30	
16	32	37	24	
22	27	33	27	
31	24	24	30	
25	32	25	27	
23	27	35	24	
28	25	32	24	
25	32	28	24	
29	23	24	33	
23	26	27	33	
29	20	39	21	
33	22	21	33	
32	24	26	27	
31	25	23	30	
21	33	31	24	
27	19	33	30	
27	32	29	21	
30	32	23	24	
22	28	26	33	
26	28	31	24	
27	29	29	24	
18	34	24	33	
35	26	30	18	
23	31	22	33	
28	23	28	30	
24	29	38	18	
25	23	31	30	
34	22	23	30	
31	29	25	24	
30	17	32	30	
30	20	29	30	
27	26	35	21	
27	24	31	27	
28	21	30	30	
35	17	27	30	
31	28	23	27	
30	32	20	27	
29	25	31	24	
32	27	23	27	
27	26	23	33	
24	36	25	24	
27	26	26	30	
24	34	27	24	
33	29	26	21	
32	22	31	24	
24	22	33	30	
26	31	25	27	
20	30	32	27	
29	27	23	30	
21	36	25	27	
26	27	29	27	
29	24	29	27	
24	30	28	27	
24	29	23	33	
29	25	34	21	
22	33	27	27	
33	22	27	27	
20	31	31	27	
21	31	30	27	
24	28	30	27	
31	29	28	21	
27	34	24	24	
24	23	32	30	
24	29	29	27	
29	29	27	24	
40	22	26	21	
31	36	18	24	
24	31	21	33	
26	31	25	27	
33	22	30	24	
27	27	28	27	
33	23	29	24	
24	28	27	30	
27	23	29	30	
27	25	27	30	
33	27	28	21	
32	34	22	21	
28	36	21	24	
22	33	27	27	
36	23	20	30	
22	31	20	36	
26	29	27	27	
24	32	32	21	
30	25	21	33	
31	21	30	27	
32	28	19	30	
24	22	36	27	
26	32	27	24	
19	27	24	39	
25	27	30	27	
24	33	22	30	
23	31	22	33	
26	35	30	18	
29	23	21	36	
30	25	33	21	
29	26	30	24	
27	33	22	27	
31	27	21	30	
21	33	28	27	
27	26	26	30	
23	24	32	30	
30	23	26	30	
30	31	30	18	
27	23	35	24	
24	25	36	24	
27	29	23	30	
30	28	15	36	
22	33	30	24	
32	25	28	24	
22	29	34	24	
33	28	21	27	
22	27	30	30	
31	28	29	21	
27	31	27	24	
27	20	32	30	
28	24	21	36	
32	32	24	21	
24	34	21	30	
22	32	34	21	
24	23	32	30	
28	28	26	27	
