107	33	243	
99	34	229	
110	38	241	
105	34	207	
105	31	221	
85	35	288	
99	29	247	
106	33	269	
111	33	289	
101	25	252	
110	38	247	
89	28	278	
98	29	272	
102	35	270	
108	35	275	
100	32	238	
100	22	305	
108	35	259	
121	39	262	
117	39	259	
111	37	268	
106	25	238	
114	32	264	
111	30	269	
109	27	243	
116	29	269	
103	43	324	
107	27	250	
114	33	243	
102	41	244	
107	32	261	
93	25	253	
100	24	269	
102	37	245	
95	30	273	
94	31	292	
97	24	247	
96	28	256	
107	33	256	
109	31	218	
116	38	221	
106	27	262	
85	27	284	
110	36	257	
106	29	248	
96	36	254	
99	30	263	
103	31	276	
99	27	258	
109	32	277	
118	30	291	
103	26	239	
107	24	258	
102	35	270	
91	39	283	
100	29	257	
114	28	292	
107	26	234	
97	29	250	
106	38	254	
108	33	250	
112	27	228	
104	37	277	
104	34	239	
96	36	267	
102	36	261	
104	31	234	
105	38	270	
106	40	223	
102	26	243	
104	28	272	
125	32	234	
112	25	244	
105	34	248	
110	40	234	
103	35	260	
97	32	245	
103	29	268	
109	21	263	
111	38	247	
112	31	244	
102	25	227	
98	27	286	
96	36	284	
112	29	262	
94	31	222	
97	39	254	
101	30	245	
92	31	306	
113	37	239	
109	31	228	
124	27	260	
108	41	225	
120	30	238	
118	31	242	
96	27	243	
102	32	253	
99	35	256	
91	23	255	
106	30	283	
101	33	268	
133	37	301	
110	36	255	
104	31	233	
109	36	272	
100	32	278	
99	27	202	
105	40	264	
103	17	238	
107	35	248	
107	30	208	
119	35	240	
109	34	281	
94	34	254	
90	43	282	
111	29	226	
104	30	252	
106	29	216	
100	31	292	
100	30	242	
117	23	244	
99	33	253	
117	24	213	
97	34	246	
117	34	231	
101	29	253	
106	25	256	
98	22	279	
116	24	243	
108	27	224	
109	30	267	
111	41	261	
95	38	291	
98	28	280	
101	35	258	
107	26	241	
117	31	338	
99	27	267	
90	30	265	
94	22	271	
108	29	233	
105	34	263	
95	33	222	
107	33	239	
110	40	276	
100	33	269	
94	27	196	
111	29	284	
115	35	258	
108	33	256	
117	36	281	
113	27	249	
98	38	233	
115	31	259	
118	34	304	
109	34	241	
109	32	275	
108	25	245	
99	26	283	
101	27	238	
93	22	276	
109	26	287	
107	32	243	
110	37	244	
96	30	248	
97	27	234	
101	37	285	
100	34	280	
101	29	244	
110	31	258	
103	28	220	
103	35	260	
111	31	247	
105	30	209	
101	27	246	
105	37	264	
95	34	230	
124	32	237	
120	32	247	
111	34	239	
102	29	240	
123	32	261	
104	30	262	
100	32	299	
104	30	219	
113	36	282	
108	37	266	
94	35	262	
103	44	256	
108	32	245	
99	32	262	
101	42	273	
103	31	237	
106	28	226	
110	30	249	
109	38	286	
104	25	268	
112	28	268	
95	34	240	
104	38	250	
106	39	256	
101	22	297	
102	37	322	
98	28	239	
109	22	277	
96	32	281	
108	34	271	
104	35	265	
110	31	229	
99	29	273	
113	22	258	
114	35	233	
106	35	272	
109	37	280	
118	36	266	
106	39	246	
116	41	232	
103	31	246	
107	24	279	
106	29	237	
104	37	211	
106	31	267	
93	42	278	
100	29	224	
104	39	277	
104	29	233	
95	26	258	
103	31	276	
95	32	236	
105	30	239	
119	34	243	
91	36	268	
91	31	280	
107	31	220	
107	34	268	
98	23	215	
105	31	227	
99	38	238	
100	34	227	
116	39	225	
102	39	242	
112	33	244	
105	31	238	
96	40	301	
100	38	265	
115	25	262	
113	33	258	
106	28	258	
118	26	230	
104	30	270	
108	30	235	
99	29	272	
93	27	277	
129	39	236	
113	37	252	
120	28	238	
98	32	240	
101	33	257	
105	39	279	
111	29	225	
104	33	246	
106	26	248	
105	24	260	
101	42	267	
117	39	244	
115	33	268	
111	33	257	
90	34	254	
111	34	254	
104	27	273	
108	30	243	
94	32	268	
103	38	251	
102	38	272	
107	36	266	
104	37	285	
93	33	198	
116	22	236	
102	26	232	
105	41	290	
92	32	249	
90	31	260	
115	35	257	
114	36	218	
94	28	283	
101	33	267	
110	32	288	
102	35	244	
106	35	260	
107	35	242	
103	31	235	
108	32	222	
95	30	289	
113	31	224	
111	31	273	
97	27	257	
90	38	241	
102	32	273	
98	24	268	
99	25	263	
99	28	268	
103	36	241	
101	24	261	
106	28	252	
112	38	250	
103	28	260	
94	34	258	
109	44	272	
112	33	231	
110	27	222	
109	21	254	
105	30	238	
107	20	237	
94	29	247	
94	40	269	
106	24	268	
112	34	250	
98	29	244	
107	38	240	
104	34	254	
92	24	267	
104	33	297	
86	32	236	
98	35	265	
113	35	267	
94	24	291	
103	29	241	
99	26	264	
103	29	287	
99	35	272	
101	28	251	
93	35	251	
98	29	260	
107	33	254	
104	39	280	
103	35	182	
97	32	235	
113	36	239	
101	41	273	
114	28	269	
98	30	300	
97	22	235	
104	27	269	
104	34	235	
90	33	236	
95	32	242	
112	33	244	
99	25	231	
96	26	272	
112	27	220	
108	30	240	
102	35	318	
102	33	257	
123	40	225	
108	38	264	
117	33	297	
101	29	276	
100	28	275	
95	30	266	
122	34	257	
102	33	242	
106	34	289	
109	31	250	
97	41	256	
114	34	238	
106	29	246	
105	24	275	
119	30	268	
114	43	282	
100	35	256	
109	35	220	
99	32	257	
108	34	261	
94	28	273	
109	39	247	
113	27	244	
103	37	291	
119	35	258	
105	40	256	
97	33	252	
113	44	273	
120	27	251	
112	26	255	
101	35	291	
106	27	256	
111	35	212	
107	30	236	
100	29	261	
103	29	235	
93	32	281	
97	36	266	
102	37	235	
108	30	239	
87	36	271	
94	41	289	
104	29	242	
113	28	288	
105	35	261	
95	33	253	
109	38	212	
118	28	256	
111	30	232	
98	33	245	
94	28	279	
112	34	233	
81	27	279	
100	25	261	
100	34	229	
104	35	266	
116	42	242	
94	39	274	
110	29	279	
110	33	338	
94	31	224	
93	31	254	
105	28	255	
100	28	277	
105	33	235	
90	31	248	
103	28	254	
101	37	237	
106	25	262	
108	42	268	
100	19	243	
100	34	265	
97	26	270	
105	32	261	
114	34	256	
113	31	270	
124	28	266	
99	23	266	
113	40	231	
104	31	244	
112	39	209	
108	29	234	
114	38	267	
99	36	258	
105	39	261	
104	23	287	
92	36	295	
110	30	236	
108	27	269	
102	26	228	
110	41	279	
112	38	264	
87	20	285	
109	21	281	
107	25	237	
114	32	281	
112	30	277	
103	33	244	
106	27	281	
94	31	247	
103	20	218	
101	36	268	
113	35	240	
117	27	235	
115	34	261	
108	23	256	
98	33	234	
103	34	238	
109	37	250	
99	34	262	
112	39	258	
112	32	253	
110	32	250	
101	49	263	
93	32	226	
97	26	243	
95	36	279	
105	27	259	
101	35	264	
113	32	263	
112	32	283	
103	32	246	
108	30	278	
103	31	317	
90	31	260	
