131	30	251	
135	27	265	
123	30	246	
119	28	274	
137	25	268	
124	29	295	
134	27	232	
133	39	253	
129	32	242	
137	25	236	
135	23	260	
132	31	232	
134	36	212	
136	33	250	
126	29	263	
131	34	263	
146	31	252	
134	40	232	
130	32	250	
134	33	275	
127	32	253	
138	33	244	
130	25	241	
129	34	267	
128	36	263	
136	29	252	
133	32	257	
151	38	234	
132	35	264	
134	24	222	
141	33	241	
136	26	247	
141	31	256	
136	27	266	
135	29	286	
123	32	267	
147	28	256	
142	24	252	
141	35	266	
126	28	274	
133	40	255	
133	32	227	
122	27	244	
132	30	255	
129	27	257	
145	37	217	
122	31	222	
135	31	245	
146	30	268	
147	28	241	
142	36	244	
134	25	259	
121	28	239	
132	40	267	
143	32	228	
139	31	265	
134	25	234	
119	33	237	
136	36	256	
144	27	251	
138	33	239	
146	34	233	
130	35	282	
137	29	269	
137	33	226	
134	30	234	
136	32	269	
150	32	241	
129	29	254	
132	36	271	
117	28	229	
138	37	237	
140	31	246	
141	28	266	
137	34	235	
144	29	264	
128	28	280	
136	30	259	
136	35	265	
134	26	246	
120	31	245	
118	30	267	
131	39	226	
123	45	276	
134	32	229	
145	33	255	
130	35	242	
142	29	236	
139	35	286	
134	29	288	
139	23	283	
141	34	282	
130	19	269	
133	36	266	
134	29	263	
136	35	253	
139	39	262	
145	28	256	
133	33	250	
128	25	245	
142	32	218	
136	25	259	
129	30	232	
135	26	291	
138	30	240	
121	27	286	
141	30	258	
117	29	235	
132	27	242	
142	26	231	
140	37	240	
139	33	248	
129	30	267	
137	26	256	
135	28	251	
137	34	243	
145	24	280	
135	22	219	
136	25	251	
129	27	222	
138	29	251	
129	28	264	
136	30	248	
124	39	238	
134	24	241	
129	30	259	
141	43	237	
135	30	242	
121	26	237	
141	29	279	
139	33	252	
135	31	274	
138	28	240	
133	28	258	
149	29	292	
144	36	256	
137	35	263	
123	35	266	
137	36	267	
124	29	235	
129	30	243	
127	39	248	
147	28	254	
124	28	213	
144	32	249	
133	33	254	
135	30	235	
141	27	236	
134	25	276	
143	29	258	
130	29	249	
139	32	286	
129	29	266	
127	36	244	
136	27	295	
129	29	226	
140	30	296	
150	23	260	
121	35	262	
118	24	257	
139	33	247	
131	38	259	
133	36	264	
140	26	272	
137	36	216	
139	36	256	
133	25	239	
123	30	276	
133	33	233	
129	25	255	
116	30	244	
135	42	267	
142	29	237	
150	41	239	
131	34	264	
138	30	279	
146	32	243	
143	35	242	
132	29	267	
136	29	311	
133	25	240	
129	24	249	
146	29	252	
146	31	231	
139	22	265	
132	34	245	
122	36	257	
149	36	251	
131	32	276	
140	29	234	
132	24	255	
123	39	246	
138	35	242	
127	24	229	
137	38	245	
132	28	239	
139	29	260	
130	27	256	
137	32	252	
138	27	212	
125	42	248	
134	26	249	
130	29	260	
141	34	243	
130	31	248	
140	31	261	
120	28	284	
136	38	276	
131	28	255	
144	28	246	
139	36	268	
133	23	268	
145	40	268	
134	28	249	
143	30	260	
131	39	258	
144	37	223	
133	25	246	
130	30	254	
131	32	260	
142	33	257	
125	30	243	
125	25	251	
133	38	280	
140	35	242	
132	23	263	
141	28	228	
121	28	284	
120	30	285	
140	36	275	
126	25	252	
144	24	251	
135	30	253	
127	32	239	
144	27	247	
